entityId,time_utc,precipitation,temperature,windSpeed
5423951,2025-01-08 10:00:00+00:00,0.5433333333333333,3.09,7.2
5423951,2025-01-08 11:00:00+00:00,0.0,3.12,7.2
5423951,2025-01-08 12:00:00+00:00,,,
5423951,2025-01-08 13:00:00+00:00,,,
5423951,2025-01-08 14:00:00+00:00,0.7766666666666667,3.94,6.86
5423951,2025-01-08 15:00:00+00:00,0.6766666666666667,3.74,6.169999999999999
5423951,2025-01-08 16:00:00+00:00,0.7025,3.09,5.3999999999999995
5423951,2025-01-08 17:00:00+00:00,0.43,2.9766666666666666,5.14
5423951,2025-01-08 18:00:00+00:00,0.0,2.805,4.885
5423951,2025-01-08 19:00:00+00:00,0.052000000000000005,2.4059999999999997,3.9120000000000004
5423951,2025-01-08 20:00:00+00:00,0.04,1.9125,3.085
5423951,2025-01-08 21:00:00+00:00,0.0,1.7325,2.83
5423951,2025-01-08 22:00:00+00:00,0.0,1.3424999999999998,3.3449999999999998
5423951,2025-01-08 23:00:00+00:00,0.0,1.01,3.3449999999999998
5423951,2025-01-09 00:00:00+00:00,0.0,1.01,3.09
5423951,2025-01-09 01:00:00+00:00,0.0,0.8999999999999999,2.83
5423951,2025-01-09 02:00:00+00:00,0.0,0.82,1.8
5423951,2025-01-09 03:00:00+00:00,0.0,0.1475,1.03
5423951,2025-01-09 04:00:00+00:00,0.0,-0.185,1.03
5423951,2025-01-09 05:00:00+00:00,0.0,0.465,1.2850000000000001
5423951,2025-01-09 06:00:00+00:00,0.0,0.79,1.2
5423951,2025-01-09 07:00:00+00:00,0.0,0.8099999999999999,1.54
5423951,2025-01-09 08:00:00+00:00,0.0,0.31000000000000005,1.4125
5423951,2025-01-09 09:00:00+00:00,0.0,0.14,1.37
5430967,2025-01-08 10:00:00+00:00,0.6733333333333333,3.233333333333333,7.2
5430967,2025-01-08 11:00:00+00:00,,,
5430967,2025-01-08 12:00:00+00:00,,,
5430967,2025-01-08 13:00:00+00:00,,,
5430967,2025-01-08 14:00:00+00:00,0.6699999999999999,3.9466666666666668,6.86
5430967,2025-01-08 15:00:00+00:00,0.05333333333333334,3.543333333333333,6.169999999999999
5430967,2025-01-08 16:00:00+00:00,0.8525,3.2350000000000003,5.4
5430967,2025-01-08 17:00:00+00:00,0.0,3.0066666666666673,5.14
5430967,2025-01-08 18:00:00+00:00,0.0,2.6675,4.885
5430967,2025-01-08 19:00:00+00:00,0.034,2.268,3.912
5430967,2025-01-08 20:00:00+00:00,0.1925,1.8800000000000001,3.085
5430967,2025-01-08 21:00:00+00:00,0.0,1.5025,2.84
5430967,2025-01-08 22:00:00+00:00,0.0,1.245,3.3449999999999998
5430967,2025-01-08 23:00:00+00:00,0.0,1.085,3.3449999999999998
5430967,2025-01-09 00:00:00+00:00,0.0,1.08,3.09
5430967,2025-01-09 01:00:00+00:00,0.0,0.875,2.83
5430967,2025-01-09 02:00:00+00:00,0.0,0.7,1.8
5430967,2025-01-09 03:00:00+00:00,0.0,0.6125,1.0725
5430967,2025-01-09 04:00:00+00:00,0.0,0.45500000000000007,0.74
5430967,2025-01-09 05:00:00+00:00,0.0,0.52,1.2850000000000001
5430967,2025-01-09 06:00:00+00:00,0.0,0.67,1.3033333333333335
5430967,2025-01-09 07:00:00+00:00,0.0,0.69,1.54
5430967,2025-01-09 08:00:00+00:00,0.0,0.4525,1.4125
5430967,2025-01-09 09:00:00+00:00,0.0,0.36999999999999994,1.37
5433971,2025-01-08 10:00:00+00:00,0.77,3.2266666666666666,10.459999999999999
5433971,2025-01-08 11:00:00+00:00,,,
5433971,2025-01-08 12:00:00+00:00,,,
5433971,2025-01-08 13:00:00+00:00,,,
5433971,2025-01-08 14:00:00+00:00,0.09000000000000001,4.03,10.463333333333333
5433971,2025-01-08 15:00:00+00:00,0.0,3.51,6.169999999999999
5433971,2025-01-08 16:00:00+00:00,0.94,3.26,7.720000000000001
5433971,2025-01-08 17:00:00+00:00,0.0,3.0866666666666664,7.376666666666668
5433971,2025-01-08 18:00:00+00:00,0.0,2.675,7.075
5433971,2025-01-08 19:00:00+00:00,0.0,2.21,5.66
5433971,2025-01-08 20:00:00+00:00,0.135,1.855,5.145
5433971,2025-01-08 21:00:00+00:00,0.0,1.52,4.885
5433971,2025-01-08 22:00:00+00:00,0.0,1.2525,4.885
5433971,2025-01-08 23:00:00+00:00,0.0,1.085,4.63
5433971,2025-01-09 00:00:00+00:00,0.0,1.05,3.86
5433971,2025-01-09 01:00:00+00:00,0.0,0.8500000000000001,3.09
5433971,2025-01-09 02:00:00+00:00,0.0,0.7,2.315
5433971,2025-01-09 03:00:00+00:00,0.0,0.6,1.54
5433971,2025-01-09 04:00:00+00:00,0.0,0.4,1.9300000000000002
5433971,2025-01-09 05:00:00+00:00,0.0,0.40499999999999997,1.8
5433971,2025-01-09 06:00:00+00:00,0.0,0.49,2.2266666666666666
5433971,2025-01-09 07:00:00+00:00,0.0,0.6233333333333334,1.8866666666666667
5433971,2025-01-09 08:00:00+00:00,0.0,0.4640000000000001,1.7480000000000004
5433971,2025-01-09 09:00:00+00:00,0.0,0.3,1.8866666666666667
5465941,2025-01-08 10:00:00+00:00,0.0,3.4766666666666666,9.23
5465941,2025-01-08 11:00:00+00:00,,,
5465941,2025-01-08 12:00:00+00:00,,,
5465941,2025-01-08 13:00:00+00:00,,,
5465941,2025-01-08 14:00:00+00:00,0.11,4.79,8.216666666666667
5465941,2025-01-08 15:00:00+00:00,0.17333333333333334,4.716666666666666,7.75
5465941,2025-01-08 16:00:00+00:00,0.225,4.035,5.85
5465941,2025-01-08 17:00:00+00:00,0.0,3.78,4.736666666666666
5465941,2025-01-08 18:00:00+00:00,0.3125,3.3125,4.387499999999999
5465941,2025-01-08 19:00:00+00:00,0.0,2.194,3.6700000000000004
5465941,2025-01-08 20:00:00+00:00,0.0,2.44,3.5700000000000003
5465941,2025-01-08 21:00:00+00:00,0.0,2.4,3.635
5465941,2025-01-08 22:00:00+00:00,0.0,2.045,3.48
5465941,2025-01-08 23:00:00+00:00,0.0,1.6150000000000002,3.2399999999999998
5465941,2025-01-09 00:00:00+00:00,0.0,1.48,3.5549999999999997
5465941,2025-01-09 01:00:00+00:00,0.0,1.48,3.8049999999999997
5465941,2025-01-09 02:00:00+00:00,0.0,1.4625,3.1849999999999996
5465941,2025-01-09 03:00:00+00:00,0.0,1.4625,2.645
5465941,2025-01-09 04:00:00+00:00,0.0,0.7599999999999999,2.5650000000000004
5465941,2025-01-09 05:00:00+00:00,0.0,0.0625,2.4175
5465941,2025-01-09 06:00:00+00:00,0.0,0.10333333333333332,2.5866666666666664
5465941,2025-01-09 07:00:00+00:00,0.0,0.7200000000000001,2.1999999999999997
5465941,2025-01-09 08:00:00+00:00,0.0,0.5675000000000001,1.715
5465941,2025-01-09 09:00:00+00:00,0.0,0.3966666666666667,1.6566666666666665
54331015,2025-01-08 10:00:00+00:00,0.20333333333333334,3.16,7.886666666666667
54331015,2025-01-08 11:00:00+00:00,,,
54331015,2025-01-08 12:00:00+00:00,,,
54331015,2025-01-08 13:00:00+00:00,,,
54331015,2025-01-08 14:00:00+00:00,0.9733333333333335,3.16,8.576666666666666
54331015,2025-01-08 15:00:00+00:00,0.0,3.16,7.543333333333333
54331015,2025-01-08 16:00:00+00:00,0.6525,3.16,7.2
54331015,2025-01-08 17:00:00+00:00,0.6933333333333334,3.16,6.0
54331015,2025-01-08 18:00:00+00:00,0.0,2.41,5.657500000000001
54331015,2025-01-08 19:00:00+00:00,0.0,2.16,5.246
54331015,2025-01-08 20:00:00+00:00,0.0,1.6600000000000001,5.654999999999999
54331015,2025-01-08 21:00:00+00:00,0.0,1.16,4.63
54331015,2025-01-08 22:00:00+00:00,0.0,1.16,3.6
54331015,2025-01-08 23:00:00+00:00,0.0,0.66,3.3449999999999998
54331015,2025-01-09 00:00:00+00:00,0.0,0.16,3.3449999999999998
54331015,2025-01-09 01:00:00+00:00,0.0,0.16,3.3449999999999998
54331015,2025-01-09 02:00:00+00:00,0.0,0.16,3.3449999999999998
54331015,2025-01-09 03:00:00+00:00,0.0,0.16,2.315
54331015,2025-01-09 04:00:00+00:00,0.0,0.16,2.315
54331015,2025-01-09 05:00:00+00:00,0.0,0.16,2.06
54331015,2025-01-09 06:00:00+00:00,0.0,0.16,2.4
54331015,2025-01-09 07:00:00+00:00,0.0,0.16,2.7466666666666666
54331015,2025-01-09 08:00:00+00:00,0.0,0.16,2.572
54331015,2025-01-09 09:00:00+00:00,0.0,0.16,2.4
54331021,2025-01-08 10:00:00+00:00,0.13999999999999999,3.043333333333333,7.886666666666667
54331021,2025-01-08 11:00:00+00:00,,,
54331021,2025-01-08 12:00:00+00:00,,,
54331021,2025-01-08 13:00:00+00:00,,,
54331021,2025-01-08 14:00:00+00:00,0.9166666666666666,3.0433333333333334,8.576666666666666
54331021,2025-01-08 15:00:00+00:00,0.0,3.0433333333333334,7.543333333333334
54331021,2025-01-08 16:00:00+00:00,0.4825,3.0300000000000002,7.2
54331021,2025-01-08 17:00:00+00:00,0.7066666666666667,3.0433333333333334,6.0
54331021,2025-01-08 18:00:00+00:00,0.0,2.31,5.6575
54331021,2025-01-08 19:00:00+00:00,0.0,2.0500000000000003,5.246
54331021,2025-01-08 20:00:00+00:00,0.0,1.56,5.654999999999999
54331021,2025-01-08 21:00:00+00:00,0.0,1.0225,4.63
54331021,2025-01-08 22:00:00+00:00,0.0,1.0475,3.6
54331021,2025-01-08 23:00:00+00:00,0.0,0.5475,3.3449999999999998
54331021,2025-01-09 00:00:00+00:00,0.0,0.0475,3.3449999999999998
54331021,2025-01-09 01:00:00+00:00,0.0,0.06,3.3449999999999998
54331021,2025-01-09 02:00:00+00:00,0.0,0.06,3.3449999999999998
54331021,2025-01-09 03:00:00+00:00,0.0,0.0475,2.315
54331021,2025-01-09 04:00:00+00:00,0.0,0.022499999999999996,2.315
54331021,2025-01-09 05:00:00+00:00,0.0,0.0475,2.06
54331021,2025-01-09 06:00:00+00:00,0.0,0.06,2.4
54331021,2025-01-09 07:00:00+00:00,0.0,0.043333333333333335,2.7466666666666666
54331021,2025-01-09 08:00:00+00:00,0.0,0.06,2.572
54331021,2025-01-09 09:00:00+00:00,0.0,0.043333333333333335,2.4
54351009,2025-01-08 10:00:00+00:00,0.30666666666666664,3.06,7.886666666666667
54351009,2025-01-08 11:00:00+00:00,,,
54351009,2025-01-08 12:00:00+00:00,,,
54351009,2025-01-08 13:00:00+00:00,,,
54351009,2025-01-08 14:00:00+00:00,1.0766666666666667,3.06,8.576666666666666
54351009,2025-01-08 15:00:00+00:00,0.0,3.06,7.543333333333333
54351009,2025-01-08 16:00:00+00:00,0.075,3.06,7.2
54351009,2025-01-08 17:00:00+00:00,0.8166666666666668,3.06,6.0
54351009,2025-01-08 18:00:00+00:00,0.0,2.31,5.657500000000001
54351009,2025-01-08 19:00:00+00:00,0.0,2.06,5.246
54351009,2025-01-08 20:00:00+00:00,0.0,1.56,5.654999999999999
54351009,2025-01-08 21:00:00+00:00,0.0,1.06,4.63
54351009,2025-01-08 22:00:00+00:00,0.0,1.06,3.6
54351009,2025-01-08 23:00:00+00:00,0.0,0.56,3.3449999999999998
54351009,2025-01-09 00:00:00+00:00,0.0,0.06,3.3449999999999998
54351009,2025-01-09 01:00:00+00:00,0.0,0.06,3.3449999999999998
54351009,2025-01-09 02:00:00+00:00,0.0,0.06,3.3449999999999998
54351009,2025-01-09 03:00:00+00:00,0.0,0.06,2.315
54351009,2025-01-09 04:00:00+00:00,0.0,0.06,2.315
54351009,2025-01-09 05:00:00+00:00,0.0,0.06,2.06
54351009,2025-01-09 06:00:00+00:00,0.0,0.06,2.4
54351009,2025-01-09 07:00:00+00:00,0.0,0.06,2.7466666666666666
54351009,2025-01-09 08:00:00+00:00,0.0,0.06,2.5725
54351009,2025-01-09 09:00:00+00:00,0.0,0.06,2.4
